drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
EFLORNITHINE	DRUG:EFLORNITHINE	CHEMBL830	D11AX16	D	Dermatologicals
IDARUBICIN	DRUG:IDARUBICIN	CHEMBL1117	L01DB06	L	Antineoplastic and immunomodulating agents
ARTICAINE	DRUG:ARTICAINE	CHEMBL1093	N01BB58	N	Nervous system
ACECLOFENAC	DRUG:ACECLOFENAC	CHEMBL93645	M01AB16	M	Musculo-skeletal system
CLADRIBINE	DRUG:CLADRIBINE	CHEMBL1619	L01BB04	L	Antineoplastic and immunomodulating agents
SOMATROPIN	DRUG:SOMATROPIN	CHEMBL1201621	H01AC01	H	Systemic hormonal preparations
RIVAROXABAN	DRUG:RIVAROXABAN	CHEMBL198362	B01AF01	B	Blood and blood forming organs
STIRIPENTOL	DRUG:STIRIPENTOL	CHEMBL1983350	N03AX17	N	Nervous system
NALOXONE	DRUG:NALOXONE	CHEMBL80	A06AH04	A	Alimentary tract and metabolism
POLIHEXANIDE	DRUG:POLIHEXANIDE	CHEMBL2106939	D08AC05	D	Dermatologicals
POLIHEXANIDE	DRUG:POLIHEXANIDE	CHEMBL2106939	S01AX24	S	Sensory organs
THIOPENTAL	DRUG:THIOPENTAL	CHEMBL441	N01AF03	N	Nervous system
ERGOTAMINE	DRUG:ERGOTAMINE	CHEMBL442	N02CA72	N	Nervous system
PALONOSETRON	DRUG:PALONOSETRON	CHEMBL1189679	A04AA55	A	Alimentary tract and metabolism
DIHYDRALAZINE	DRUG:DIHYDRALAZINE	CHEMBL35505	C02DB01	C	Cardiovascular system
KETAMINE	DRUG:KETAMINE	CHEMBL742	N01AX03	N	Nervous system
HYDROXYCHLOROQUINE	DRUG:HYDROXYCHLOROQUINE	CHEMBL1535	P01BA02	P	Antiparasitic products
NELFINAVIR	DRUG:NELFINAVIR	CHEMBL584	J05AE04	J	Antiinfectives for systemic use
ICATIBANT	DRUG:ICATIBANT	CHEMBL2028850	B06AC02	B	Blood and blood forming organs
PYRIDOSTIGMINE	DRUG:PYRIDOSTIGMINE	CHEMBL1115	N07AA02	N	Nervous system
AVANAFIL	DRUG:AVANAFIL	CHEMBL1963681	G04BE10	G	Genito-urinary system and sex hormones
PIRARUBICIN	DRUG:PIRARUBICIN	CHEMBL2354444	L01DB08	L	Antineoplastic and immunomodulating agents
CASPOFUNGIN	DRUG:CASPOFUNGIN	CHEMBL1630575	J02AX04	J	Antiinfectives for systemic use
CYCLOPENTOLATE	DRUG:CYCLOPENTOLATE	CHEMBL1201338	S01FA54	S	Sensory organs
FLUNARIZINE	DRUG:FLUNARIZINE	CHEMBL30008	N07CA03	N	Nervous system
TROVAFLOXACIN	DRUG:TROVAFLOXACIN	CHEMBL428	J01MA13	J	Antiinfectives for systemic use
TRIENTINE	DRUG:TRIENTINE	CHEMBL609	A16AX12	A	Alimentary tract and metabolism
DORZOLAMIDE	DRUG:DORZOLAMIDE	CHEMBL218490	S01EC03	S	Sensory organs
MEBEVERINE	DRUG:MEBEVERINE	CHEMBL282121	A03AA04	A	Alimentary tract and metabolism
KETOTIFEN	DRUG:KETOTIFEN	CHEMBL534	R06AX17	R	Respiratory system
CHLORPHENIRAMINE	DRUG:CHLORPHENIRAMINE	CHEMBL505	R06AB54	R	Respiratory system
IMIPRAMINE	DRUG:IMIPRAMINE	CHEMBL11	N06AA02	N	Nervous system
PSEUDOEPHEDRINE	DRUG:PSEUDOEPHEDRINE	CHEMBL1590	R01BA52	R	Respiratory system
RASBURICASE	DRUG:RASBURICASE	CHEMBL1201594	M04AX01	M	Musculo-skeletal system
TERIZIDONE	DRUG:TERIZIDONE	CHEMBL2107553	J04AK03	J	Antiinfectives for systemic use
TOFACITINIB	DRUG:TOFACITINIB	CHEMBL221959	L04AF01	L	Antineoplastic and immunomodulating agents
TAVABOROLE	DRUG:TAVABOROLE	CHEMBL443052	D01AE24	D	Dermatologicals
PEGLOTICASE	DRUG:PEGLOTICASE	CHEMBL1237025	M04AX02	M	Musculo-skeletal system
TICARCILLIN	DRUG:TICARCILLIN	CHEMBL1449	J01CA13	J	Antiinfectives for systemic use
LAPATINIB	DRUG:LAPATINIB	CHEMBL554	L01EH01	L	Antineoplastic and immunomodulating agents
BRIMONIDINE	DRUG:BRIMONIDINE	CHEMBL844	S01GA07	S	Sensory organs
DIPHENHYDRAMINE	DRUG:DIPHENHYDRAMINE	CHEMBL657	D04AA32	D	Dermatologicals
ERTAPENEM	DRUG:ERTAPENEM	CHEMBL1359	J01DH03	J	Antiinfectives for systemic use
CELIPROLOL	DRUG:CELIPROLOL	CHEMBL27810	C07AB08	C	Cardiovascular system
PONATINIB	DRUG:PONATINIB	CHEMBL1171837	L01EA05	L	Antineoplastic and immunomodulating agents
CLOBAZAM	DRUG:CLOBAZAM	CHEMBL70418	N05BA09	N	Nervous system
TERIPARATIDE	DRUG:TERIPARATIDE	CHEMBL525610	H05AA02	H	Systemic hormonal preparations
DINOPROSTONE	DRUG:DINOPROSTONE	CHEMBL548	G02AD02	G	Genito-urinary system and sex hormones
IPRATROPIUM BROMIDE	DRUG:IPRATROPIUM BROMIDE	CHEMBL2134724	R03BB01	R	Respiratory system
ELACESTRANT	DRUG:ELACESTRANT	CHEMBL4297509	L02BA04	L	Antineoplastic and immunomodulating agents
ODEVIXIBAT	DRUG:ODEVIXIBAT	CHEMBL4297588	A05AX05	A	Alimentary tract and metabolism
PRALSETINIB	DRUG:PRALSETINIB	CHEMBL4582651	L01EX23	L	Antineoplastic and immunomodulating agents
FREMANEZUMAB	DRUG:FREMANEZUMAB	CHEMBL4297756	N02CD03	N	Nervous system
TRASTUZUMAB DERUXTECAN	DRUG:TRASTUZUMAB DERUXTECAN	CHEMBL4297844	L01FD04	L	Antineoplastic and immunomodulating agents
TIRZEPATIDE	DRUG:TIRZEPATIDE	CHEMBL4297839	A10BX16	A	Alimentary tract and metabolism
VILTOLARSEN	DRUG:VILTOLARSEN	CHEMBL4298062	M09AX12	M	Musculo-skeletal system
FLUVOXAMINE	DRUG:FLUVOXAMINE	CHEMBL814	N06AB08	N	Nervous system
CEFOTAXIME	DRUG:CEFOTAXIME	CHEMBL1730	J01DD01	J	Antiinfectives for systemic use
AMANTADINE	DRUG:AMANTADINE	CHEMBL660	N04BB01	N	Nervous system
DIAZOXIDE	DRUG:DIAZOXIDE	CHEMBL181	V03AH01	V	Various
LUBIPROSTONE	DRUG:LUBIPROSTONE	CHEMBL1201134	A06AX03	A	Alimentary tract and metabolism
NICOTINE	DRUG:NICOTINE	CHEMBL3	N07BA01	N	Nervous system
OFLOXACIN	DRUG:OFLOXACIN	CHEMBL4	J01MA01	J	Antiinfectives for systemic use
OFLOXACIN	DRUG:OFLOXACIN	CHEMBL4	S02AA16	S	Sensory organs
APOMORPHINE	DRUG:APOMORPHINE	CHEMBL53	N04BC07	N	Nervous system
BACITRACIN	DRUG:BACITRACIN	CHEMBL1200558	D06AX05	D	Dermatologicals
TEDIZOLID	DRUG:TEDIZOLID	CHEMBL1257051	J01XX11	J	Antiinfectives for systemic use
EPTIFIBATIDE	DRUG:EPTIFIBATIDE	CHEMBL1174	B01AC16	B	Blood and blood forming organs
FLUPIRTINE	DRUG:FLUPIRTINE	CHEMBL255044	N02BG07	N	Nervous system
NAFTIFINE	DRUG:NAFTIFINE	CHEMBL626	D01AE22	D	Dermatologicals
MACITENTAN	DRUG:MACITENTAN	CHEMBL2103873	C02KX04	C	Cardiovascular system
SECNIDAZOLE	DRUG:SECNIDAZOLE	CHEMBL498847	P01AB07	P	Antiparasitic products
CISATRACURIUM	DRUG:CISATRACURIUM	CHEMBL1201248	M03AC11	M	Musculo-skeletal system
AMIKACIN	DRUG:AMIKACIN	CHEMBL177	S01AA21	S	Sensory organs
BUCILLAMINE	DRUG:BUCILLAMINE	CHEMBL80830	M01CC02	M	Musculo-skeletal system
DESONIDE	DRUG:DESONIDE	CHEMBL1201109	S01BA11	S	Sensory organs
POTASSIUM IODIDE	DRUG:POTASSIUM IODIDE	CHEMBL1141	R05CA02	R	Respiratory system
EMTRICITABINE	DRUG:EMTRICITABINE	CHEMBL885	J05AF09	J	Antiinfectives for systemic use
BACAMPICILLIN	DRUG:BACAMPICILLIN	CHEMBL1583	J01CA06	J	Antiinfectives for systemic use
DEXMETHYLPHENIDATE	DRUG:DEXMETHYLPHENIDATE	CHEMBL827	N06BA11	N	Nervous system
NALOXEGOL	DRUG:NALOXEGOL	CHEMBL2219418	A06AH03	A	Alimentary tract and metabolism
GENTAMICIN	DRUG:GENTAMICIN	CHEMBL6067485	J01GB03	J	Antiinfectives for systemic use
