drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
MORNIFLUMATE	DRUG:MORNIFLUMATE	CHEMBL2105059	M01AX22	M	Musculo-skeletal system
SITAFLOXACIN	DRUG:SITAFLOXACIN	CHEMBL3989504	J01MA21	J	Antiinfectives for systemic use
XIPAMIDE	DRUG:XIPAMIDE	CHEMBL517199	C03BA10	C	Cardiovascular system
SULFISOMIDINE	DRUG:SULFISOMIDINE	CHEMBL485696	J01EB01	J	Antiinfectives for systemic use
HYDROCHLORIC ACID	DRUG:HYDROCHLORIC ACID	CHEMBL1231821	B05XA13	B	Blood and blood forming organs
DOXYLAMINE	DRUG:DOXYLAMINE	CHEMBL1004	R06AA59	R	Respiratory system
DEQUALINIUM	DRUG:DEQUALINIUM	CHEMBL333826	D08AH01	D	Dermatologicals
GARENOXACIN	DRUG:GARENOXACIN	CHEMBL215303	J01MA19	J	Antiinfectives for systemic use
PERICIAZINE	DRUG:PERICIAZINE	CHEMBL251940	N05AC01	N	Nervous system
CETRIMONIUM	DRUG:CETRIMONIUM	CHEMBL1183605	R02AA17	R	Respiratory system
CLOXAZOLAM	DRUG:CLOXAZOLAM	CHEMBL2107254	N05BA22	N	Nervous system
LOPRAZOLAM	DRUG:LOPRAZOLAM	CHEMBL2107448	N05CD11	N	Nervous system
CLOTIAZEPAM	DRUG:CLOTIAZEPAM	CHEMBL1697737	N05BA21	N	Nervous system
DIPHENOXYLATE	DRUG:DIPHENOXYLATE	CHEMBL1201294	A07DA01	A	Alimentary tract and metabolism
SETMELANOTIDE	DRUG:SETMELANOTIDE	CHEMBL3301624	A08AA12	A	Alimentary tract and metabolism
FILGOTINIB	DRUG:FILGOTINIB	CHEMBL3301607	L04AF04	L	Antineoplastic and immunomodulating agents
ENTRECTINIB	DRUG:ENTRECTINIB	CHEMBL1983268	L01EX14	L	Antineoplastic and immunomodulating agents
DAROLUTAMIDE	DRUG:DAROLUTAMIDE	CHEMBL4297185	L02BB06	L	Antineoplastic and immunomodulating agents
FRUQUINTINIB	DRUG:FRUQUINTINIB	CHEMBL4303214	L01EK04	L	Antineoplastic and immunomodulating agents
BARICITINIB	DRUG:BARICITINIB	CHEMBL2105759	L04AF02	L	Antineoplastic and immunomodulating agents
SELUMETINIB	DRUG:SELUMETINIB	CHEMBL1614701	L01EE04	L	Antineoplastic and immunomodulating agents
ABROCITINIB	DRUG:ABROCITINIB	CHEMBL3655081	D11AH08	D	Dermatologicals
SPARSENTAN	DRUG:SPARSENTAN	CHEMBL539423	C09XX01	C	Cardiovascular system
BENRALIZUMAB	DRUG:BENRALIZUMAB	CHEMBL1742991	R03DX10	R	Respiratory system
OLARATUMAB	DRUG:OLARATUMAB	CHEMBL1743049	L01FX10	L	Antineoplastic and immunomodulating agents
SIRUKUMAB	DRUG:SIRUKUMAB	CHEMBL1743071	L04AC15	L	Antineoplastic and immunomodulating agents
BELUMOSUDIL	DRUG:BELUMOSUDIL	CHEMBL2005186	L04AA48	L	Antineoplastic and immunomodulating agents
HEPARIN	DRUG:HEPARIN	CHEMBL4650299	S01XA14	S	Sensory organs
BELZUTIFAN	DRUG:BELZUTIFAN	CHEMBL4585668	L01XX74	L	Antineoplastic and immunomodulating agents
MITAPIVAT	DRUG:MITAPIVAT	CHEMBL4299940	B06AX04	B	Blood and blood forming organs
INEBILIZUMAB	DRUG:INEBILIZUMAB	CHEMBL2109334	L04AG10	L	Antineoplastic and immunomodulating agents
MUROMONAB-CD3	DRUG:MUROMONAB-CD3	CHEMBL1201608	L04AG01	L	Antineoplastic and immunomodulating agents
RESLIZUMAB	DRUG:RESLIZUMAB	CHEMBL2107884	R03DX08	R	Respiratory system
TOCILIZUMAB	DRUG:TOCILIZUMAB	CHEMBL1237022	L04AC07	L	Antineoplastic and immunomodulating agents
CANAKINUMAB	DRUG:CANAKINUMAB	CHEMBL1201834	L04AC08	L	Antineoplastic and immunomodulating agents
PENCICLOVIR	DRUG:PENCICLOVIR	CHEMBL1540	D06BB06	D	Dermatologicals
MINERAL OIL	DRUG:MINERAL OIL	CHEMBL2109152	A06AA01	A	Alimentary tract and metabolism
OCRIPLASMIN	DRUG:OCRIPLASMIN	CHEMBL2095222	S01XA22	S	Sensory organs
DEFERASIROX	DRUG:DEFERASIROX	CHEMBL550348	V03AC03	V	Various
PARALDEHYDE	DRUG:PARALDEHYDE	CHEMBL1410743	N05CC05	N	Nervous system
ORITAVANCIN	DRUG:ORITAVANCIN	CHEMBL1688530	J01XA05	J	Antiinfectives for systemic use
DALBAVANCIN	DRUG:DALBAVANCIN	CHEMBL3301669	J01XA04	J	Antiinfectives for systemic use
BUPRENORPHINE	DRUG:BUPRENORPHINE	CHEMBL511142	N07BC51	N	Nervous system
ORNIDAZOLE	DRUG:ORNIDAZOLE	CHEMBL1449676	P01AB03	P	Antiparasitic products
NITROFURAZONE	DRUG:NITROFURAZONE	CHEMBL869	D09AA03	D	Dermatologicals
OXYMETAZOLINE	DRUG:OXYMETAZOLINE	CHEMBL762	D11AX27	D	Dermatologicals
OXYMETAZOLINE	DRUG:OXYMETAZOLINE	CHEMBL762	R01AA05	R	Respiratory system
ARSENIC TRIOXIDE	DRUG:ARSENIC TRIOXIDE	CHEMBL5483015	L01XX27	L	Antineoplastic and immunomodulating agents
METRELEPTIN	DRUG:METRELEPTIN	CHEMBL2107857	A16AA07	A	Alimentary tract and metabolism
ETHOSUXIMIDE	DRUG:ETHOSUXIMIDE	CHEMBL696	N03AD01	N	Nervous system
PIRFENIDONE	DRUG:PIRFENIDONE	CHEMBL1256391	L04AX05	L	Antineoplastic and immunomodulating agents
URSODIOL	DRUG:URSODIOL	CHEMBL1551	A05AA02	A	Alimentary tract and metabolism
OXCARBAZEPINE	DRUG:OXCARBAZEPINE	CHEMBL1068	N03AF02	N	Nervous system
SULFADIAZINE	DRUG:SULFADIAZINE	CHEMBL439	J01EC02	J	Antiinfectives for systemic use
TENIPOSIDE	DRUG:TENIPOSIDE	CHEMBL452231	L01CB02	L	Antineoplastic and immunomodulating agents
CHLORPROMAZINE	DRUG:CHLORPROMAZINE	CHEMBL71	N05AA01	N	Nervous system
ALPROSTADIL	DRUG:ALPROSTADIL	CHEMBL495	C01EA01	C	Cardiovascular system
ASPIRIN	DRUG:ASPIRIN	CHEMBL25	B01AC06	B	Blood and blood forming organs
CARIPRAZINE	DRUG:CARIPRAZINE	CHEMBL2028019	N05AX15	N	Nervous system
FENOTEROL	DRUG:FENOTEROL	CHEMBL32800	G02CA03	G	Genito-urinary system and sex hormones
FENOTEROL	DRUG:FENOTEROL	CHEMBL32800	R03CC04	R	Respiratory system
FINASTERIDE	DRUG:FINASTERIDE	CHEMBL710	G04CB01	G	Genito-urinary system and sex hormones
CORIFOLLITROPIN ALFA	DRUG:CORIFOLLITROPIN ALFA	CHEMBL2108185	G03GA09	G	Genito-urinary system and sex hormones
BENZOCAINE	DRUG:BENZOCAINE	CHEMBL278172	D04AB04	D	Dermatologicals
LINEZOLID	DRUG:LINEZOLID	CHEMBL126	J01XX08	J	Antiinfectives for systemic use
PYRIMETHAMINE	DRUG:PYRIMETHAMINE	CHEMBL36	P01BD01	P	Antiparasitic products
PYRIMETHAMINE	DRUG:PYRIMETHAMINE	CHEMBL36	P01BD51	P	Antiparasitic products
COCAINE	DRUG:COCAINE	CHEMBL370805	N01BC01	N	Nervous system
GLYCERIN	DRUG:GLYCERIN	CHEMBL692	A06AG04	A	Alimentary tract and metabolism
CELECOXIB	DRUG:CELECOXIB	CHEMBL118	M01AH01	M	Musculo-skeletal system
BUDESONIDE	DRUG:BUDESONIDE	CHEMBL1370	R03BA02	R	Respiratory system
BETA CAROTENE	DRUG:BETA CAROTENE	CHEMBL1293	D02BB01	D	Dermatologicals
KETOCONAZOLE	DRUG:KETOCONAZOLE	CHEMBL157101	D01AC08	D	Dermatologicals
FLUINDIONE	DRUG:FLUINDIONE	CHEMBL24924	B01AA12	B	Blood and blood forming organs
VORTIOXETINE	DRUG:VORTIOXETINE	CHEMBL2104993	N06AX26	N	Nervous system
TERBINAFINE	DRUG:TERBINAFINE	CHEMBL822	D01BA02	D	Dermatologicals
MAGNESIUM CITRATE	DRUG:MAGNESIUM CITRATE	CHEMBL3989480	B05CB03	B	Blood and blood forming organs
FLUOCINOLONE ACETONIDE	DRUG:FLUOCINOLONE ACETONIDE	CHEMBL989	D07AC04	D	Dermatologicals
ETIDRONIC ACID	DRUG:ETIDRONIC ACID	CHEMBL871	M05BA01	M	Musculo-skeletal system
TOLVAPTAN	DRUG:TOLVAPTAN	CHEMBL344159	C03XA01	C	Cardiovascular system
CANAGLIFLOZIN	DRUG:CANAGLIFLOZIN	CHEMBL4594217	A10BK02	A	Alimentary tract and metabolism
SELEXIPAG	DRUG:SELEXIPAG	CHEMBL238804	B01AC27	B	Blood and blood forming organs
VALPROIC ACID	DRUG:VALPROIC ACID	CHEMBL109	N03AG01	N	Nervous system
TECHNETIUM TC 99M TILMANOCEPT	DRUG:TECHNETIUM TC 99M TILMANOCEPT	CHEMBL2108726	V09IA09	V	Various
PRIMIDONE	DRUG:PRIMIDONE	CHEMBL856	N03AA03	N	Nervous system
ZANAMIVIR	DRUG:ZANAMIVIR	CHEMBL222813	J05AH01	J	Antiinfectives for systemic use
FRAMYCETIN	DRUG:FRAMYCETIN	CHEMBL184618	R01AX08	R	Respiratory system
AMPHOTERICIN B	DRUG:AMPHOTERICIN B	CHEMBL267345	A01AB04	A	Alimentary tract and metabolism
CITRIC ACID	DRUG:CITRIC ACID	CHEMBL1261	A09AB04	A	Alimentary tract and metabolism
TENECTEPLASE	DRUG:TENECTEPLASE	CHEMBL2108791	B01AD11	B	Blood and blood forming organs
CLARITHROMYCIN	DRUG:CLARITHROMYCIN	CHEMBL1741	J01FA09	J	Antiinfectives for systemic use
CALCIUM CHLORIDE	DRUG:CALCIUM CHLORIDE	CHEMBL1200668	B05XA07	B	Blood and blood forming organs
INDINAVIR	DRUG:INDINAVIR	CHEMBL5483011	J05AE02	J	Antiinfectives for systemic use
ERYTHROMYCIN	DRUG:ERYTHROMYCIN	CHEMBL532	J01FA01	J	Antiinfectives for systemic use
NEBIVOLOL	DRUG:NEBIVOLOL	CHEMBL434394	C07AB12	C	Cardiovascular system
METRONIDAZOLE	DRUG:METRONIDAZOLE	CHEMBL137	P01AB51	P	Antiparasitic products
MICONAZOLE	DRUG:MICONAZOLE	CHEMBL91	J02AB01	J	Antiinfectives for systemic use
DEFLAZACORT	DRUG:DEFLAZACORT	CHEMBL1201891	H02AB13	H	Systemic hormonal preparations
LENOGRASTIM	DRUG:LENOGRASTIM	CHEMBL2109128	L03AA10	L	Antineoplastic and immunomodulating agents
MOCLOBEMIDE	DRUG:MOCLOBEMIDE	CHEMBL86304	N06AG02	N	Nervous system
PIMOZIDE	DRUG:PIMOZIDE	CHEMBL1423	N05AG02	N	Nervous system
IBUPROFEN	DRUG:IBUPROFEN	CHEMBL521	M01AE51	M	Musculo-skeletal system
NITRENDIPINE	DRUG:NITRENDIPINE	CHEMBL475534	C08CA08	C	Cardiovascular system
METHYLTESTOSTERONE	DRUG:METHYLTESTOSTERONE	CHEMBL1395	G03BA02	G	Genito-urinary system and sex hormones
BRIVUDINE	DRUG:BRIVUDINE	CHEMBL31634	J05AB15	J	Antiinfectives for systemic use
ETORICOXIB	DRUG:ETORICOXIB	CHEMBL416146	M01AH05	M	Musculo-skeletal system
METHOCARBAMOL	DRUG:METHOCARBAMOL	CHEMBL1201117	M03BA03	M	Musculo-skeletal system
METHOCARBAMOL	DRUG:METHOCARBAMOL	CHEMBL1201117	M03BA73	M	Musculo-skeletal system
FLURBIPROFEN	DRUG:FLURBIPROFEN	CHEMBL563	M02AA19	M	Musculo-skeletal system
CALCIUM GLUCONATE	DRUG:CALCIUM GLUCONATE	CHEMBL2106119	A12AA03	A	Alimentary tract and metabolism
ASPARAGINASE	DRUG:ASPARAGINASE	CHEMBL2108989	L01XX02	L	Antineoplastic and immunomodulating agents
FENTANYL	DRUG:FENTANYL	CHEMBL596	N01AH01	N	Nervous system
POMALIDOMIDE	DRUG:POMALIDOMIDE	CHEMBL43452	L04AX06	L	Antineoplastic and immunomodulating agents
NARATRIPTAN	DRUG:NARATRIPTAN	CHEMBL1278	N02CC02	N	Nervous system
QUINIDINE	DRUG:QUINIDINE	CHEMBL1294	C01BA01	C	Cardiovascular system
ROFECOXIB	DRUG:ROFECOXIB	CHEMBL122	M01AH02	M	Musculo-skeletal system
TETRACYCLINE	DRUG:TETRACYCLINE	CHEMBL1440	S02AA08	S	Sensory organs
FURAZOLIDONE	DRUG:FURAZOLIDONE	CHEMBL1103	G01AX06	G	Genito-urinary system and sex hormones
INDOMETHACIN	DRUG:INDOMETHACIN	CHEMBL6	M02AA23	M	Musculo-skeletal system
LYNESTRENOL	DRUG:LYNESTRENOL	CHEMBL2107431	G03AC02	G	Genito-urinary system and sex hormones
DOBUTAMINE	DRUG:DOBUTAMINE	CHEMBL926	C01CA07	C	Cardiovascular system
GEMCITABINE	DRUG:GEMCITABINE	CHEMBL888	L01BC05	L	Antineoplastic and immunomodulating agents
MITOTANE	DRUG:MITOTANE	CHEMBL1670	L01XX23	L	Antineoplastic and immunomodulating agents
ASCORBIC ACID	DRUG:ASCORBIC ACID	CHEMBL196	G01AD03	G	Genito-urinary system and sex hormones
CODEINE	DRUG:CODEINE	CHEMBL485	N02AA79	N	Nervous system
ESOMEPRAZOLE	DRUG:ESOMEPRAZOLE	CHEMBL1201320	A02BC05	A	Alimentary tract and metabolism
CLOFARABINE	DRUG:CLOFARABINE	CHEMBL1750	L01BB06	L	Antineoplastic and immunomodulating agents
SERTACONAZOLE	DRUG:SERTACONAZOLE	CHEMBL1201196	G01AF19	G	Genito-urinary system and sex hormones
TIMOLOL	DRUG:TIMOLOL	CHEMBL499	C07AA06	C	Cardiovascular system
TIMOLOL	DRUG:TIMOLOL	CHEMBL499	S01ED51	S	Sensory organs
ZAFIRLUKAST	DRUG:ZAFIRLUKAST	CHEMBL603	R03DC01	R	Respiratory system
TELBIVUDINE	DRUG:TELBIVUDINE	CHEMBL374731	J05AF11	J	Antiinfectives for systemic use
ISOTRETINOIN	DRUG:ISOTRETINOIN	CHEMBL547	D10AD54	D	Dermatologicals
HYDROXYPROGESTERONE CAPROATE	DRUG:HYDROXYPROGESTERONE CAPROATE	CHEMBL1200848	G03DA03	G	Genito-urinary system and sex hormones
FLUDARABINE PHOSPHATE	DRUG:FLUDARABINE PHOSPHATE	CHEMBL1096882	L01BB05	L	Antineoplastic and immunomodulating agents
THEOBROMINE	DRUG:THEOBROMINE	CHEMBL1114	C03BD01	C	Cardiovascular system
CEFTRIAXONE	DRUG:CEFTRIAXONE	CHEMBL161	J01DD04	J	Antiinfectives for systemic use
ATOMOXETINE	DRUG:ATOMOXETINE	CHEMBL641	N06BA09	N	Nervous system
POLYMYXIN B	DRUG:POLYMYXIN B	CHEMBL5314354	S02AA11	S	Sensory organs
ABACAVIR	DRUG:ABACAVIR	CHEMBL1380	J05AF06	J	Antiinfectives for systemic use
AZELASTINE	DRUG:AZELASTINE	CHEMBL639	R06AX19	R	Respiratory system
AZELASTINE	DRUG:AZELASTINE	CHEMBL639	S01GX07	S	Sensory organs
PROCAINE	DRUG:PROCAINE	CHEMBL569	N01BA02	N	Nervous system
PROCAINE	DRUG:PROCAINE	CHEMBL569	S01HA05	S	Sensory organs
BUTENAFINE	DRUG:BUTENAFINE	CHEMBL990	D01AE23	D	Dermatologicals
ALMOTRIPTAN	DRUG:ALMOTRIPTAN	CHEMBL1505	N02CC05	N	Nervous system
CLADRIBINE	DRUG:CLADRIBINE	CHEMBL1619	L04AA40	L	Antineoplastic and immunomodulating agents
ETEPLIRSEN	DRUG:ETEPLIRSEN	CHEMBL2108278	M09AX06	M	Musculo-skeletal system
PROTAMINE SULFATE	DRUG:PROTAMINE SULFATE	CHEMBL1201651	V03AB14	V	Various
ALBENDAZOLE	DRUG:ALBENDAZOLE	CHEMBL1483	P02CA03	P	Antiparasitic products
CHLORAMPHENICOL	DRUG:CHLORAMPHENICOL	CHEMBL130	S01AA01	S	Sensory organs
CHLORAMPHENICOL	DRUG:CHLORAMPHENICOL	CHEMBL130	S03AA08	S	Sensory organs
BENZYDAMINE	DRUG:BENZYDAMINE	CHEMBL12610	M01AX07	M	Musculo-skeletal system
PERTUSSIS VACCINE	DRUG:PERTUSSIS VACCINE	CHEMBL2109219	J07AJ52	J	Antiinfectives for systemic use
CHLORHEXIDINE	DRUG:CHLORHEXIDINE	CHEMBL790	D08AC02	D	Dermatologicals
CHLORHEXIDINE	DRUG:CHLORHEXIDINE	CHEMBL790	D09AA12	D	Dermatologicals
CHLORHEXIDINE	DRUG:CHLORHEXIDINE	CHEMBL790	S01AX09	S	Sensory organs
BESIFLOXACIN	DRUG:BESIFLOXACIN	CHEMBL1201760	S01AE08	S	Sensory organs
PEMETREXED	DRUG:PEMETREXED	CHEMBL225072	L01BA04	L	Antineoplastic and immunomodulating agents
TOLTERODINE	DRUG:TOLTERODINE	CHEMBL1382	G04BD07	G	Genito-urinary system and sex hormones
VITAMIN E	DRUG:VITAMIN E	CHEMBL3989727	A11HA03	A	Alimentary tract and metabolism
CHLORAMBUCIL	DRUG:CHLORAMBUCIL	CHEMBL515	L01AA02	L	Antineoplastic and immunomodulating agents
CYCLOPENTOLATE	DRUG:CYCLOPENTOLATE	CHEMBL1201338	S01FA04	S	Sensory organs
OXYMORPHONE	DRUG:OXYMORPHONE	CHEMBL963	N02AA11	N	Nervous system
METARAMINOL	DRUG:METARAMINOL	CHEMBL1201319	C01CA09	C	Cardiovascular system
METOCLOPRAMIDE	DRUG:METOCLOPRAMIDE	CHEMBL86	A03FA01	A	Alimentary tract and metabolism
DIHYDROCODEINE	DRUG:DIHYDROCODEINE	CHEMBL1595	N02AA08	N	Nervous system
BUTYLSCOPOLAMINE	DRUG:BUTYLSCOPOLAMINE	CHEMBL1618102	A03BB01	A	Alimentary tract and metabolism
PAPAVERINE	DRUG:PAPAVERINE	CHEMBL19224	G04BE02	G	Genito-urinary system and sex hormones
CYPROHEPTADINE	DRUG:CYPROHEPTADINE	CHEMBL516	R06AX02	R	Respiratory system
FOSPHENYTOIN	DRUG:FOSPHENYTOIN	CHEMBL1201336	N03AB05	N	Nervous system
LIDOCAINE	DRUG:LIDOCAINE	CHEMBL79	R02AD02	R	Respiratory system
EPINEPHRINE	DRUG:EPINEPHRINE	CHEMBL679	R01AA14	R	Respiratory system
ALGINIC ACID	DRUG:ALGINIC ACID	CHEMBL2108894	A02BX13	A	Alimentary tract and metabolism
INDAPAMIDE	DRUG:INDAPAMIDE	CHEMBL406	C03BA11	C	Cardiovascular system
NALBUPHINE	DRUG:NALBUPHINE	CHEMBL895	N02AF02	N	Nervous system
PIPAMPERONE	DRUG:PIPAMPERONE	CHEMBL440294	N05AD05	N	Nervous system
RAMIPRIL	DRUG:RAMIPRIL	CHEMBL1168	C09AA05	C	Cardiovascular system
SERTINDOLE	DRUG:SERTINDOLE	CHEMBL12713	N05AE03	N	Nervous system
INDACATEROL	DRUG:INDACATEROL	CHEMBL1095777	R03AC18	R	Respiratory system
FENFLURAMINE	DRUG:FENFLURAMINE	CHEMBL87493	A08AA02	A	Alimentary tract and metabolism
DIHYDROERGOTAMINE	DRUG:DIHYDROERGOTAMINE	CHEMBL1732	N02CA01	N	Nervous system
CETRORELIX	DRUG:CETRORELIX	CHEMBL1200490	H01CC02	H	Systemic hormonal preparations
TIROFIBAN	DRUG:TIROFIBAN	CHEMBL916	B01AC17	B	Blood and blood forming organs
SCOPOLAMINE	DRUG:SCOPOLAMINE	CHEMBL569713	S01FA02	S	Sensory organs
ROSIGLITAZONE	DRUG:ROSIGLITAZONE	CHEMBL121	A10BG02	A	Alimentary tract and metabolism
NITROFURANTOIN	DRUG:NITROFURANTOIN	CHEMBL572	J01XE01	J	Antiinfectives for systemic use
PREDNISOLONE	DRUG:PREDNISOLONE	CHEMBL131	D07XA02	D	Dermatologicals
PREDNISOLONE	DRUG:PREDNISOLONE	CHEMBL131	R01AD02	R	Respiratory system
TIOCONAZOLE	DRUG:TIOCONAZOLE	CHEMBL1200438	D01AC07	D	Dermatologicals
MESNA	DRUG:MESNA	CHEMBL975	V03AF01	V	Various
IPRATROPIUM BROMIDE	DRUG:IPRATROPIUM BROMIDE	CHEMBL2134724	R01AX03	R	Respiratory system
DOCUSATE SODIUM	DRUG:DOCUSATE SODIUM	CHEMBL1905872	A06AG10	A	Alimentary tract and metabolism
TRIHEPTANOIN	DRUG:TRIHEPTANOIN	CHEMBL4297585	A16AX17	A	Alimentary tract and metabolism
EFGARTIGIMOD ALFA	DRUG:EFGARTIGIMOD ALFA	CHEMBL4297551	L04AA58	L	Antineoplastic and immunomodulating agents
INOTERSEN	DRUG:INOTERSEN	CHEMBL4297770	N07XX15	N	Nervous system
SOMATROGON	DRUG:SOMATROGON	CHEMBL4297830	H01AC08	H	Systemic hormonal preparations
ROZANOLIXIZUMAB	DRUG:ROZANOLIXIZUMAB	CHEMBL4297820	L04AG16	L	Antineoplastic and immunomodulating agents
TISOTUMAB VEDOTIN	DRUG:TISOTUMAB VEDOTIN	CHEMBL4297841	L01FX23	L	Antineoplastic and immunomodulating agents
NITAZOXANIDE	DRUG:NITAZOXANIDE	CHEMBL1401	P01AX11	P	Antiparasitic products
PHENYLEPHRINE	DRUG:PHENYLEPHRINE	CHEMBL1215	R01BA53	R	Respiratory system
IXABEPILONE	DRUG:IXABEPILONE	CHEMBL1201752	L01DC04	L	Antineoplastic and immunomodulating agents
PAROXETINE	DRUG:PAROXETINE	CHEMBL490	N06AB05	N	Nervous system
SIPULEUCEL-T	DRUG:SIPULEUCEL-T	CHEMBL1237024	L03AX17	L	Antineoplastic and immunomodulating agents
ZIPRASIDONE	DRUG:ZIPRASIDONE	CHEMBL708	N05AE04	N	Nervous system
DISULFIRAM	DRUG:DISULFIRAM	CHEMBL964	P03AA04	P	Antiparasitic products
SACROSIDASE	DRUG:SACROSIDASE	CHEMBL1201487	A16AB06	A	Alimentary tract and metabolism
AMINOPHYLLINE	DRUG:AMINOPHYLLINE	CHEMBL1370561	R03DA55	R	Respiratory system
NISOLDIPINE	DRUG:NISOLDIPINE	CHEMBL1726	C08CA07	C	Cardiovascular system
DICLOXACILLIN	DRUG:DICLOXACILLIN	CHEMBL893	J01CF01	J	Antiinfectives for systemic use
CARTEOLOL	DRUG:CARTEOLOL	CHEMBL839	C07AA15	C	Cardiovascular system
CARTEOLOL	DRUG:CARTEOLOL	CHEMBL839	S01ED55	S	Sensory organs
MAGNESIUM OXIDE	DRUG:MAGNESIUM OXIDE	CHEMBL1200572	A02AA02	A	Alimentary tract and metabolism
MEPERIDINE	DRUG:MEPERIDINE	CHEMBL607	N02AB52	N	Nervous system
PIROXICAM	DRUG:PIROXICAM	CHEMBL527	M01AC01	M	Musculo-skeletal system
RANIMUSTINE	DRUG:RANIMUSTINE	CHEMBL2105348	L01AD07	L	Antineoplastic and immunomodulating agents
DESMOPRESSIN	DRUG:DESMOPRESSIN	CHEMBL1429	H01BA02	H	Systemic hormonal preparations
PROTHIPENDYL	DRUG:PROTHIPENDYL	CHEMBL2111030	N05AX07	N	Nervous system
AMIKACIN	DRUG:AMIKACIN	CHEMBL177	D06AX12	D	Dermatologicals
AMIKACIN	DRUG:AMIKACIN	CHEMBL177	J01GB06	J	Antiinfectives for systemic use
ALLOPURINOL	DRUG:ALLOPURINOL	CHEMBL1467	M04AA01	M	Musculo-skeletal system
TAFLUPROST	DRUG:TAFLUPROST	CHEMBL1963683	S01EE05	S	Sensory organs
IXAZOMIB	DRUG:IXAZOMIB	CHEMBL2141296	L01XG03	L	Antineoplastic and immunomodulating agents
STREPTOMYCIN	DRUG:STREPTOMYCIN	CHEMBL372795	J01GA01	J	Antiinfectives for systemic use
NATAMYCIN	DRUG:NATAMYCIN	CHEMBL1200656	D01AA02	D	Dermatologicals
HYDROCORTISONE	DRUG:HYDROCORTISONE	CHEMBL389621	D07XA01	D	Dermatologicals
HYDROCORTISONE	DRUG:HYDROCORTISONE	CHEMBL389621	S01BA02	S	Sensory organs
CHARCOAL, ACTIVATED	DRUG:CHARCOAL, ACTIVATED	CHEMBL2106049	A07BA51	A	Alimentary tract and metabolism
ARMODAFINIL	DRUG:ARMODAFINIL	CHEMBL1201192	N06BA13	N	Nervous system
LYMECYCLINE	DRUG:LYMECYCLINE	CHEMBL2103929	J01AA04	J	Antiinfectives for systemic use
METHYLPREDNISOLONE	DRUG:METHYLPREDNISOLONE	CHEMBL650	D07AA01	D	Dermatologicals
DICLOFENAC	DRUG:DICLOFENAC	CHEMBL139	D11AX18	D	Dermatologicals
REGORAFENIB	DRUG:REGORAFENIB	CHEMBL1946170	L01EX05	L	Antineoplastic and immunomodulating agents
GADOVERSETAMIDE	DRUG:GADOVERSETAMIDE	CHEMBL1200457	V08CA06	V	Various
BETAMETHASONE	DRUG:BETAMETHASONE	CHEMBL632	D07XC01	D	Dermatologicals
BETAMETHASONE	DRUG:BETAMETHASONE	CHEMBL632	H02AB01	H	Systemic hormonal preparations
BETAMETHASONE	DRUG:BETAMETHASONE	CHEMBL632	S02BA07	S	Sensory organs
SULFACETAMIDE	DRUG:SULFACETAMIDE	CHEMBL455	S01AB04	S	Sensory organs
OXYTETRACYCLINE	DRUG:OXYTETRACYCLINE	CHEMBL1517	D06AA03	D	Dermatologicals
PALIFERMIN	DRUG:PALIFERMIN	CHEMBL1201821	V03AF08	V	Various
AMITRIPTYLINE	DRUG:AMITRIPTYLINE	CHEMBL629	N06AA09	N	Nervous system
FLUOROMETHOLONE	DRUG:FLUOROMETHOLONE	CHEMBL1200600	D07XB04	D	Dermatologicals
MAGNESIUM SULFATE	DRUG:MAGNESIUM SULFATE	CHEMBL3989857	B05XA05	B	Blood and blood forming organs
NADOLOL	DRUG:NADOLOL	CHEMBL521606	C07AA12	C	Cardiovascular system
DROSPIRENONE	DRUG:DROSPIRENONE	CHEMBL1509	G03AC10	G	Genito-urinary system and sex hormones
BACLOFEN	DRUG:BACLOFEN	CHEMBL701	M03BX01	M	Musculo-skeletal system
DAUNORUBICIN	DRUG:DAUNORUBICIN	CHEMBL178	L01DB02	L	Antineoplastic and immunomodulating agents
PHENAZOPYRIDINE	DRUG:PHENAZOPYRIDINE	CHEMBL1242	G04BX06	G	Genito-urinary system and sex hormones
LATANOPROST	DRUG:LATANOPROST	CHEMBL1051	S01EE01	S	Sensory organs
ROTIGOTINE	DRUG:ROTIGOTINE	CHEMBL1303	N04BC09	N	Nervous system
ETODOLAC	DRUG:ETODOLAC	CHEMBL622	M01AB08	M	Musculo-skeletal system
CARBOPLATIN	DRUG:CARBOPLATIN	CHEMBL1351	L01XA02	L	Antineoplastic and immunomodulating agents
DANAZOL	DRUG:DANAZOL	CHEMBL1479	G03XA01	G	Genito-urinary system and sex hormones
VENETOCLAX	DRUG:VENETOCLAX	CHEMBL3137309	L01XX52	L	Antineoplastic and immunomodulating agents
AMIFAMPRIDINE	DRUG:AMIFAMPRIDINE	CHEMBL354077	N07XX05	N	Nervous system
TEGAFUR	DRUG:TEGAFUR	CHEMBL20883	L01BC03	L	Antineoplastic and immunomodulating agents
TENAPANOR	DRUG:TENAPANOR	CHEMBL3304485	A06AX08	A	Alimentary tract and metabolism
SACITUZUMAB GOVITECAN	DRUG:SACITUZUMAB GOVITECAN	CHEMBL3545262	L01FX17	L	Antineoplastic and immunomodulating agents
MELATONIN	DRUG:MELATONIN	CHEMBL45	N05CH01	N	Nervous system
UPADACITINIB	DRUG:UPADACITINIB	CHEMBL3622821	L04AF03	L	Antineoplastic and immunomodulating agents
