entity	id
AE:ACCIDENTAL_HIGH_SPINAL_ANAESTHESIA	134
AE:ACCIDENTAL_OVERDOSE	135
AE:ACCIDENTAL_POISONING	136
AE:ACCIDENTAL_UNDERDOSE	137
AE:ACCIDENT_AT_HOME	138
AE:ACCIDENT_AT_WORK	139
AE:ACCOMMODATION_DISORDER	140
AE:ACETABULUM_FRACTURE	141
AE:ACETONAEMIA	142
AE:ACHILLES_TENDON_DISCOMFORT	143
AE:ACHLORHYDRIA	144
AE:ACHROMOBACTER_INFECTION	145
AE:ACHROMOTRICHIA_ACQUIRED	146
AE:ACHROMOTRICHIA_CONGENITAL	147
AE:ACID-BASE_BALANCE_DISORDER_MIXED	148
AE:ACIDOSIS	149
AE:ACIDOSIS_HYPERCHLORAEMIC	150
AE:ACID_BASE_BALANCE_ABNORMAL	151
AE:ACID_FAST_BACILLI_INFECTION	152
AE:ACID_PEPTIC_DISEASE	153
AE:ACINAR_CELL_CARCINOMA_OF_PANCREAS	154
AE:ACINETOBACTER_BACTERAEMIA	155
AE:ACINETOBACTER_INFECTION	156
AE:ACINETOBACTER_SEPSIS	157
AE:ACINETOBACTER_TEST_POSITIVE	158
AE:ACINIC_CELL_CARCINOMA_OF_SALIVARY_GLAND	159
AE:ACNE	160
AE:ACNE_CONGLOBATA	161
AE:ACNE_COSMETICA	162
AE:ACNE_CYSTIC	163
AE:ACNE_FULMINANS	164
AE:ACNE_INFANTILE	165
AE:ACNE_PUSTULAR	166
AE:ACOUSTIC_NEUROMA	167
AE:ACOUSTIC_STIMULATION_TESTS_ABNORMAL	168
AE:ACQUIRED_ACRODERMATITIS_ENTEROPATHICA	169
AE:ACQUIRED_AMEGAKARYOCYTIC_THROMBOCYTOPENIA	170
AE:ACQUIRED_AMINOACIDURIA	171
AE:ACQUIRED_ANTITHROMBIN_III_DEFICIENCY	172
AE:ACQUIRED_APPARENT_MINERALOCORTICOID_EXCESS	173
AE:ACQUIRED_ATTR_AMYLOIDOSIS	174
AE:ACQUIRED_C1_INHIBITOR_DEFICIENCY	175
AE:ACQUIRED_CARDIAC_SEPTAL_DEFECT	176
AE:ACQUIRED_CLAW_TOE	177
AE:ACQUIRED_CORNEAL_DYSTROPHY	178
AE:ACQUIRED_CYSTIC_KIDNEY_DISEASE	179
AE:ACQUIRED_DIAPHRAGMATIC_EVENTRATION	180
AE:ACQUIRED_DYSFIBRINOGENAEMIA	181
AE:ACQUIRED_EPIDERMOLYSIS_BULLOSA	182
AE:ACQUIRED_EPILEPTIC_APHASIA	183
AE:ACQUIRED_FACTOR_V_DEFICIENCY	184
AE:ACQUIRED_GENERALISED_LIPODYSTROPHY	185
AE:ACQUIRED_GENE_MUTATION	186
AE:ACQUIRED_GROWTH_HORMONE_RESISTANCE	187
AE:ACQUIRED_HAEMOPHILIA	188
AE:ACQUIRED_HYDROCELE	189
AE:ACQUIRED_IMMUNODEFICIENCY_SYNDROME	190
AE:ACQUIRED_LEFT_VENTRICLE_OUTFLOW_TRACT_OBSTRUCTION	191
AE:ACQUIRED_MACROGLOSSIA	192
AE:ACQUIRED_MITOCHONDRIAL_DNA_MUTATION	193
AE:ACQUIRED_MIXED_HYPERLIPIDAEMIA	194
AE:ACQUIRED_OESOPHAGEAL_WEB	195
AE:ACQUIRED_PERFORATING_DERMATOSIS	196
AE:ACQUIRED_PHIMOSIS	197
AE:ACQUIRED_PIGMENTED_RETINOPATHY	198
AE:ACQUIRED_PLAGIOCEPHALY	199
AE:ACQUIRED_POROKERATOSIS	200
AE:ACQUIRED_PORPHYRIA	201
AE:ACQUIRED_SYRINGOMYELIA	202
AE:ACQUIRED_THALASSAEMIA	203
AE:ACQUIRED_TRACHEO-OESOPHAGEAL_FISTULA	204
AE:ACQUIRED_VON_WILLEBRAND'S_DISEASE	205
AE:ACRAL_LENTIGINOUS_MELANOMA	206
AE:ACRAL_LENTIGINOUS_MELANOMA_STAGE_I	207
AE:ACRAL_OVERGROWTH	208
AE:ACRAL_PEELING_SKIN_SYNDROME	209
AE:ACROCHORDON	210
AE:ACROCHORDON_EXCISION	211
AE:ACRODERMATITIS_ENTEROPATHICA	212
AE:ACROKERATOSIS_PARANEOPLASTICA	213
AE:ACROMEGALY	214
AE:ACROPHOBIA	215
AE:ACTINIC_CHEILITIS	216
AE:ACTINIC_ELASTOSIS	217
AE:ACTINIC_KERATOSIS	218
AE:ACTINOMYCES_BACTERAEMIA	219
